prevalence_scenario,screeningStrategy,screen_count_requested,outcome,old_value,locked_run_value,source_file,absolute_difference,relative_difference,comparison_abs_tolerance,difference_class,pass_fail
base_default_LTBI,ltbi,250,falsePositiveTreatedPerTruePositiveTreated,0.0666666666666666,0.0666666666666666,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,250,falsePositiveTreatedShareAmongCoursesStarted,0.0625,0.0625,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,250,nActiveBy20y_AfterStrategy_median,28.0,28.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,250,nActiveBy20y_DoNothing_median,37.0,37.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,250,nCuredInfection_median,30.0,30.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,250,nFalsePositiveTestsBCG_median,2.0,2.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,250,nFalsePositiveTestsNoBCG_median,1.0,1.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,250,nFalsePositiveTests_median,4.0,4.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,250,nFalsePositiveTreated_median,3.0,3.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,250,nIGRApos_median,57.0,57.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,250,nPreventedActiveTB_median,9.0,9.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,250,nScreenedBCG_median,170.0,170.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,250,nScreened_high95,250.0,250.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,250,nScreened_low95,250.0,250.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,250,nScreened_median,250.0,250.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,250,nTestPositiveNonActive_median,57.0,57.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,250,nTestPositive_median,65.0,65.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,250,nTotalCoursesCompleted_median,38.0,38.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,250,nTotalCoursesStarted_median,48.0,48.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,250,nTruePositiveTests_median,53.0,53.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,250,nTruePositiveTreated_median,45.0,45.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,250,relativeReduction20y_median,0.2558139534883721,0.2558139534883721,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,250,screenCoverage,0.1666666666666666,0.1666666666666666,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,300,NNS_prevent_one_active_TB,30.0,30.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,300,NNT_completed_prevent_one_active_TB,4.3,4.3,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,300,NNT_started_prevent_one_active_TB,5.3,5.3,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,300,PPV_trueAmongTestPositive,0.9365079365079364,0.9365079365079364,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,300,falsePositiveShareAmongTestPositive,0.0634920634920634,0.0634920634920634,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
